ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż
ż,ź,ź,ź,ź,ź,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ź,ń,ń,ń,ń,ń,ń,ż
ż,ź,,,,ź,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ź,ń,ź,ź,ź,ń,ń,ń,ń,ń,ż
ż,ź,,,,ź,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,ń,ń,ń,ń,ź,ź,ź,ź,ź,ń,ń,ń,ń,ż
ż,ź,ź,┼,ź,ź,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,ń,ń,ź,ń,ź,ź,ź,ń,ń,ń,ń,ń,ż
ż,,,,,,,,,,,ń,ń,ń,ń,ń,ń,,,,,,,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,,,,,,,,,,,,,,ń,ń,ń,ń,ź,ń,ń,ń,ń,,,ż
ż,,,,,,,,,,,,ń,ń,ń,ń,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,ń,ń,ń,,,,,ż
ż,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
