z,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż
ż,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,ń,ń,ń,ń,ń,ź,ź,ź,ź,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,ń,ń,ń,ź,ź,ź,ź,ź,ź,ź,ź,ź,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ł,ł,ł,ł,ł,ń,ń,ń,ń,ń,ń,ż
ż,ń,ń,ź,ź,ź,ź,ź,ź,ź,ź,ź,ź,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń, , , ,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ł,ł,ł,ł,ł,ł,ł,ł,ń,ń,ń,ń,ń,ż
ż,ń,ń,ź,ź,ź,ź,ź,ź,ź,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń, , , , ,ń, , , , ,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ń,ń,ż
ż,ń,ń,ń,ź,ź,ź,ź,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń, ,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ł,ł,ł,ź,ź,ź,ł,ł,ł,ł,ź,ź,ź,ł,ł,ń,ż
ż,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ł,ł,ł,ł,ł,ł,ź, ,ź,ł,ł,ł,ł,ź, ,ź,ł,ł,ł,ż
ż,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ł,ł,ł,ł,ł,ł,ł,ź,ź,ź,ł,ł,ł,ł,ź,ź,ź,ł,ł,ł,ż
ż,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ż
ż,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ż
