ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,O,W, , , , , , , , , , , , , , , , , , , , , , ,W,O,W, , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , ,W,O,W, , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , ,ż
ż, , , , ,W,O,W, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,O,W, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , ,O,P,I,S, ,G,R,Y, , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,W,O,W, , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , ,W,O,W, , , , , , , , , , , , , , , , , , , , , ,W,O,W, , , , , , ,W,O,W, , , , , , , , , , , , , , , , , , , ,W,O,W, , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , ,ż
