ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , ,W,I,N, , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , ,W,I,N, , , , , , , , , , , , , ,W,I,N, , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,I,N, , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,I,N, , , , ,W,I,N, , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,I,N, , , , , , , , , , , , , , , , , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,W,I,N, , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
